"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2005","EE",61,133.558407291917,"2",1933,"2","1","3","4","NA","2","NA","NA","NA","NA","NA","NA",6,71,72
"2005","EE",461,133.558407291917,"3",1928,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","0",46,76,76
"2005","EE",751,133.558407291917,"3",1927,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","0",75,77,77
"2005","EE",881,133.558407291917,"4",1924,"2","1","3","1","NA","2","NA","25","NA","NA","NA","NA",88,80,80
"2005","EE",991,133.558407291917,"2",1949,"2","1","4","1","11","1","NA","NA","NA","NA","NA","NA",99,55,55
"2005","EE",1641,133.558407291917,"2",1944,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","0",164,60,61
"2005","EE",1921,133.558407291917,"2",1926,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",192,78,79
"2005","EE",2031,133.558407291917,"3",1947,"1","1","4","1","NA","1","NA","NA","NA","NA","NA","NA",203,57,57
"2005","EE",2191,133.558407291917,"2",1929,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",219,75,75
"2005","EE",2271,133.558407291917,"2",1955,"1","1","1","1","11","NA","NA","NA","NA","NA","0","NA",227,49,49
"2005","EE",2471,133.558407291917,"1",1934,"2","1","3","1","11","5","NA","NA","NA","NA","NA","NA",247,70,70
"2005","EE",2851,133.558407291917,"2",1935,"2","1","3","1","11","5","NA","NA","NA","NA","NA","NA",285,69,69
"2005","EE",3201,133.558407291917,"1",1927,"2","1","4","1","NA","2","NA","30","0","NA","NA","10",320,77,77
"2005","EE",3221,133.558407291917,"3",1931,"2","1","1","1","NA","2","NA","NA","0","NA","NA","NA",322,73,73
"2005","EE",3821,133.558407291917,"3",1965,"1","1","3","1","NA","2","NA","25","NA","NA","NA","0",382,39,39
"2005","EE",3871,133.558407291917,"4",1968,"1","1","3","4","NA","2","NA","NA","NA","NA","0","NA",387,36,36
"2005","EE",4321,133.558407291917,"3",1940,"1","1","1","4","11","2","NA","NA","NA","0","NA","NA",432,64,65
"2005","EE",4391,133.558407291917,"2",1934,"2","1","3","1","11","1","NA","NA","NA","NA","NA","NA",439,70,70
"2005","EE",4451,133.558407291917,"1",1925,"2","1","1","1","11","2","NA","30","NA","NA","NA","NA",445,79,79
"2005","EE",4501,133.558407291917,"1",1941,"1","1","1","1","11","2","NA","NA","NA","NA","0","NA",450,63,64
"2005","EE",4531,133.558407291917,"1",1929,"2","1","4","1","11","5","NA","NA","NA","NA","NA","NA",453,75,75
"2005","EE",4801,133.558407291917,"4",1924,"2","1","4","4","11","5","NA","NA","NA","NA","NA","NA",480,80,80
"2005","EE",4941,133.558407291917,"2",1968,"1","1","2","1","11","2","NA","NA","NA","NA","NA","NA",494,36,36
"2005","EE",5071,133.558407291917,"2",1929,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",507,75,75
"2005","EE",5141,133.558407291917,"1",1932,"2","1","4","1","11","NA","NA","NA","0","NA","NA","NA",514,72,72
"2005","EE",5431,133.558407291917,"3",1924,"2","1","4","1","11","NA","NA","NA","0","NA","NA","NA",543,80,80
"2005","EE",5701,133.558407291917,"1",1951,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",570,53,53
"2005","EE",6321,133.558407291917,"2",1928,"2","1","1","1","11","NA","NA","NA","0","NA","0","0",632,76,77
"2005","EE",6381,133.558407291917,"2",1937,"1","1","1","1","11","2","0","NA","NA","NA","NA","NA",638,67,67
"2005","EE",6441,133.558407291917,"2",1927,"2","1","4","4","11","5","40","NA","NA","NA","NA","NA",644,77,77
"2005","EE",6701,133.558407291917,"2",1935,"2","1","3","1","11","2","NA","NA","NA","NA","0","NA",670,69,69
"2005","EE",6741,133.558407291917,"2",1958,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",674,46,47
"2005","EE",6761,133.558407291917,"1",1924,"2","1","3","1","NA","2","NA","NA","NA","NA","NA","NA",676,80,80
"2005","EE",6811,133.558407291917,"1",1924,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",681,80,80
"2005","EE",6901,133.558407291917,"1",1944,"1","1","4","1","11","1","NA","NA","0","NA","NA","0",690,60,61
"2005","EE",6931,133.558407291917,"1",1944,"2","1","4","1","11","2","NA","NA","0","NA","NA","NA",693,60,60
"2005","EE",7031,133.558407291917,"4",1980,"2","1","3","1","NA","2","NA","NA","NA","NA","NA","NA",703,24,25
"2005","EE",7331,133.558407291917,"4",1964,"1","1","4","4","11","2","NA","NA","NA","NA","NA","NA",733,40,41
"2005","EE",7801,133.558407291917,"2",1966,"1","1","1","1","NA","NA","NA","NA","NA","0","NA","NA",780,38,38
"2005","EE",8131,133.558407291917,"3",1928,"2","1","4","1","NA","2","35","NA","NA","0","0","NA",813,76,76
"2005","EE",8211,133.558407291917,"3",1980,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",821,24,25
"2005","EE",8371,133.558407291917,"1",1934,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",837,70,71
"2005","EE",8441,133.558407291917,"1",1943,"2","1","1","1","11","2","40","NA","NA","NA","NA","NA",844,61,61
"2005","EE",9001,133.558407291917,"4",1924,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",900,80,80
"2005","EE",9551,133.558407291917,"3",1924,"2","2","1","1","NA","2","NA","NA","NA","NA","NA","NA",955,80,80
"2005","EE",10021,133.558407291917,"3",1936,"1","1","1","1","NA","2","NA","35","NA","NA","NA","NA",1002,68,68
"2005","EE",10091,133.558407291917,"4",1944,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",1009,60,60
"2005","EE",10161,133.558407291917,"2",1928,"2","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",1016,76,76
"2005","EE",10291,133.558407291917,"4",1936,"1","1","1","4","11","2","NA","NA","NA","NA","NA","NA",1029,68,69
"2005","EE",10651,133.558407291917,"4",1930,"2","1","4","1","23","2","NA","NA","NA","NA","NA","NA",1065,74,74
"2005","EE",10741,133.558407291917,"4",1939,"2","1","1","1","11","1","NA","NA","NA","NA","NA","NA",1074,65,65
