"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2006","EE",61,100.362280234417,"2",1968,"2","1","2","4","11","2","NA","NA","NA","NA","0","0",6,37,38
"2006","EE",231,100.362280234417,"1",1926,"1","1","4","4","11","NA","NA","NA","NA","0","NA","30",23,79,80
"2006","EE",471,100.362280234417,"4",1928,"1","1","4","4","11","2","NA","NA","0","NA","NA","NA",47,77,78
"2006","EE",501,100.362280234417,"3",1952,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",50,53,54
"2006","EE",761,100.362280234417,"1",1950,"1","1","4","1","11","NA","NA","NA","0","0","NA","NA",76,55,56
"2006","EE",901,100.362280234417,"1",1958,"2","1","2","1","11","2","NA","NA","NA","NA","NA","NA",90,47,47
"2006","EE",1011,100.362280234417,"3",1980,"2","1","1","4","11","2","NA","28","NA","NA","NA","0",101,25,26
"2006","EE",1671,100.362280234417,"2",1976,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",167,29,29
"2006","EE",1941,100.362280234417,"2",1937,"1","1","4","4","31","2","NA","NA","NA","0","NA","NA",194,68,69
"2006","EE",2061,100.362280234417,"4",1941,"2","1","1","1","11","2","NA","0","NA","NA","NA","NA",206,64,65
"2006","EE",2231,100.362280234417,"4",1925,"2","1","3","1","11","2","NA","NA","NA","0","NA","NA",223,80,80
"2006","EE",2301,100.362280234417,"2",1976,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",230,29,29
"2006","EE",2511,100.362280234417,"2",1956,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",251,49,50
"2006","EE",2541,100.362280234417,"2",1981,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",254,24,24
"2006","EE",2581,100.362280234417,"1",1952,"2","1","3","1","11","2","NA","21","NA","0","NA","NA",258,53,53
"2006","EE",2591,100.362280234417,"4",1961,"1","1","1","1","11","2","NA","NA","NA","NA","0","NA",259,44,44
"2006","EE",2901,100.362280234417,"4",1935,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",290,70,70
"2006","EE",3141,100.362280234417,"2",1936,"2","1","1","4","11","2","NA","NA","NA","0","NA","0",314,69,69
"2006","EE",3251,100.362280234417,"3",1946,"2","1","3","4","11","2","NA","NA","NA","NA","NA","0",325,59,59
"2006","EE",3271,100.362280234417,"3",1973,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",327,32,33
"2006","EE",3471,100.362280234417,"2",1939,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",347,66,66
"2006","EE",3871,100.362280234417,"2",1952,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",387,53,53
"2006","EE",3931,100.362280234417,"3",1979,"2","1","1","1","11","2","NA","NA","NA","NA","0","NA",393,26,26
"2006","EE",4391,100.362280234417,"1",1933,"2","1","1","1","11","2","NA","27","0","NA","NA","NA",439,72,73
"2006","EE",4451,100.362280234417,"2",1930,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",445,75,76
"2006","EE",4521,100.362280234417,"4",1979,"1","1","2","1","11","2","NA","NA","NA","NA","NA","NA",452,26,27
"2006","EE",4571,100.362280234417,"4",1927,"1","1","1","4","11","NA","NA","NA","0","NA","0","NA",457,78,79
"2006","EE",4601,100.362280234417,"2",1935,"2","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",460,70,70
"2006","EE",4731,100.362280234417,"3",1945,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",473,60,60
"2006","EE",4881,100.362280234417,"3",1926,"2","1","1","1","11","5","NA","NA","NA","NA","0","0",488,79,79
"2006","EE",5011,100.362280234417,"1",1970,"1","1","3","4","11","NA","NA","NA","NA","NA","NA","NA",501,35,35
"2006","EE",5151,100.362280234417,"4",1943,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",515,62,62
"2006","EE",5221,100.362280234417,"2",1930,"2","1","1","4","NA","2","0","NA","NA","NA","NA","NA",522,75,75
"2006","EE",5521,100.362280234417,"3",1939,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",552,66,66
