"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010"
"2005","EE",6,"2","2005","12",1582,1546,0,0,,,,,,0,0,0,0,0,0,,0,35,0,0,"NA","NA","NA","1","1","1","1","1","1","1","3","5","383.47","1","NA","2","2","2","2","4","1","3","2","1","NA","NA","38.35","1","2","1",1,,,,,,
"2005","EE",46,"2","2005","8",2338,2335,0,0,,,,,,0,0,0,0,0,0,,0,0,0,4,"2","2","2","2","1","1","1","1","3","1","1","4","958.67","3","1","2","2","2","2","4","1","3","2","1","NA","NA","63.91","2","1","1",1,,,,,,
"2005","EE",75,"2","2005","13",1630,1625,0,0,,,,,,0,0,0,0,0,0,,0,0,2,3,"NA","1","NA","2","1","2","1","1","2","1","2","4","511.29","1","NA","2","2","2","2","4","1","2","1","1","NA","NA","31.96","1","1","1",1,,,,,,
"2005","EE",88,"2","2005","8",1865,1262,0,0,,,,,,0,0,0,0,0,0,,0,604,0,0,"NA","1","NA","1","1","1","1","1","2","1","3","2","1278.23","2","NA","2","1","2","2","4","4","3","2","1","NA","NA","76.69","1","1","1",1,,,,,,
"2005","EE",99,"2","2005","20",807,804,0,0,,,,,,0,0,0,0,0,0,,0,0,2,1,"NA","2","NA","2","1","1","1","1","1","1","3","5","639.12","2","1","2","2","2","2","NA","1","4","2","1","NA","NA","115.04","1","1","1",1,,,,,,
"2005","EE",164,"2","2005","16",6817,5764,0,0,,,,,,0,0,0,0,302,0,,0,1053,0,0,"2","2","2","1","1","1","1","1","1","1","1","4","639.12","3","3","2","2","2","2","4","1","3","2","1","NA","NA","115.04","1","1","1",1,,,,,,
"2005","EE",192,"2","2005","17",1622,1620,0,0,,,,,,0,0,0,0,0,0,,0,2,0,0,"NA","NA","NA","1","1","1","1","1","3","3","1","4","1150.41","1","NA","2","1","2","2","1","1","3","1","1","NA","NA","83.09","1","1","1",1,,,,,,
"2005","EE",203,"3","2005","20",2097,649,0,0,,,,,,0,0,0,0,0,0,,0,212,0,1235,"NA","2","NA","2","1","2","1","1","2","1","1","4","223.69","2","NA","2","2","1","1","4","1","3","2","1","NA","NA","31.96","1","1","1",1,,,,,,
"2005","EE",219,"3","2005","6",1635,1627,0,0,,,,,,0,0,0,0,0,0,,0,8,0,0,"2","2","NA","2","1","1","1","1","3","1","1","4","351.51","1","NA","2","2","2","2","4","1","2","1","1","NA","NA","191.73","1","2","1",1,,,,,,
"2005","EE",227,"2","2005","16",0,-856,0,0,,,,,,0,0,0,0,0,0,,0,13,844,0,"2","2","2","1","1","1","1","1","1","1","3","6","639.12","3","3","2","2","2","2","1","1","3","2","1","NA","NA","115.04","2","1","1",1,,,,,,
