"DB010","DB020","DB030","DB040","DB062","DB090"
"2008","EE",7,"EE00","NA","30.77126"
"2008","EE",49,"EE00","NA","387.444"
"2008","EE",78,"EE00","NA","148.5376"
"2008","EE",93,"EE00","NA","242.012"
"2008","EE",104,"EE00","NA","195.0343"
"2008","EE",172,"EE00","NA","105.3419"
"2008","EE",201,"EE00","NA","112.8547"
"2008","EE",214,"EE00","NA","41.35684"
"2008","EE",230,"EE00","NA","214.1174"
"2008","EE",238,"EE00","NA","48.324"
"2008","EE",259,"EE00","NA","168.9419"
"2008","EE",263,"EE00","NA","180.4093"
"2008","EE",299,"EE00","NA","33.06255"
"2008","EE",336,"EE00","NA","64.77232"
"2008","EE",338,"EE00","NA","307.8825"
"2008","EE",400,"EE00","NA","163.5954"
"2008","EE",407,"EE00","NA","266.2459"
"2008","EE",454,"EE00","NA","111.8536"
"2008","EE",461,"EE00","NA","151.4315"
"2008","EE",467,"EE00","NA","19.61404"
"2008","EE",473,"EE00","NA","53.53507"
"2008","EE",475,"EE00","NA","94.69523"
"2008","EE",489,"EE00","NA","29.0685"
"2008","EE",504,"EE00","NA","129.5934"
"2008","EE",518,"EE00","NA","96.82616"
"2008","EE",532,"EE00","NA","325.4742"
"2008","EE",540,"EE00","NA","196.4466"
"2008","EE",571,"EE00","NA","135.4091"
"2008","EE",598,"EE00","NA","112.1546"
"2008","EE",623,"EE00","NA","142.3923"
"2008","EE",663,"EE00","NA","170.3504"
"2008","EE",670,"EE00","NA","115.3199"
"2008","EE",676,"EE00","NA","169.8879"
"2008","EE",703,"EE00","NA","131.2425"
"2008","EE",707,"EE00","NA","42.46767"
"2008","EE",709,"EE00","NA","204.9193"
"2008","EE",711,"EE00","NA","475.2827"
"2008","EE",715,"EE00","NA","99.67028"
"2008","EE",723,"EE00","NA","466.7063"
"2008","EE",727,"EE00","NA","100.4488"
"2008","EE",737,"EE00","NA","108.5844"
"2008","EE",769,"EE00","NA","113.4085"
"2008","EE",819,"EE00","NA","60.40054"
"2008","EE",853,"EE00","NA","102.6517"
"2008","EE",862,"EE00","NA","114.7583"
"2008","EE",878,"EE00","NA","282.0926"
"2008","EE",886,"EE00","NA","115.6704"
"2008","EE",944,"EE00","NA","252.9387"
"2008","EE",1002,"EE00","NA","269.3759"
