"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","EE",71,102.21038961039,"2",1968,"2","1","1","4","11","5","NA","NA","NA","0","NA","NA",44,44,7,"99","2","0","0"
"2013","EE",241,102.21038961039,"1",1932,"2","1","1","4","11","2","NA","NA","0","0","NA","NA",80,80,24,"1","0","0","0"
"2013","EE",491,102.21038961039,"3",1961,"1","1","4","1","11","2","NA","NA","NA","NA","0","NA",51,51,49,"1","0","0","100"
"2013","EE",521,102.21038961039,"1",1945,"2","1","3","1","11","2","NA","30","NA","NA","NA","NA",67,67,52,"0.7916666667","2","0","0"
"2013","EE",791,102.21038961039,"2",1956,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",56,56,79,"0.2237206412","0","0","0"
"2013","EE",941,102.21038961039,"4",1936,"2","1","1","1","NA","NA","NA","NA","NA","0","NA","NA",77,76,94,"99","0","0","0"
"2013","EE",1051,102.21038961039,"1",1942,"1","1","4","4","11","2","40","26","0","NA","NA","NA",71,70,105,"1","0","0","0"
"2013","EE",1741,102.21038961039,"4",1983,"1","1","4","4","11","2","NA","NA","NA","NA","0","NA",29,29,174,"1","1","0","0"
"2013","EE",2031,102.21038961039,"3",1932,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",80,80,203,"0","1","0","100"
"2013","EE",2161,102.21038961039,"3",1932,"2","1","4","1","11","NA","NA","NA","0","NA","NA","NA",80,80,216,"0.5","0","1","0"
"2013","EE",2331,102.21038961039,"4",1952,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",60,60,233,"99","0","0","0"
"2013","EE",2411,102.21038961039,"4",1937,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",75,75,241,"0.6666666667","0","0","0"
"2013","EE",2461,102.21038961039,"1",1933,"2","1","4","4","11","2","NA","NA","NA","NA","NA","NA",80,79,246,"1","0","0","0"
