"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX050","RX040","RX060","RX070","RX010"
"2008","EE",71,123.100758853288,"4",1948,"1","1","4","1","11","2","NA","NA","NA","NA","NA","0",7,59,"0","0.5","0","0",59
"2008","EE",491,123.100758853288,"1",1977,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",49,30,"0","1","0","0",30
"2008","EE",781,123.100758853288,"4",1927,"1","1","1","4","NA","2","NA","NA","NA","NA","NA","NA",78,80,"0","99","0","0",80
"2008","EE",931,123.100758853288,"1",1946,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",93,61,"2","99","0","0",62
"2008","EE",1041,123.100758853288,"3",1957,"2","1","3","1","11","2","NA","NA","NA","0","NA","NA",104,50,"0","99","0","0",50
"2008","EE",1721,123.100758853288,"3",1955,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",172,52,"0","0.75","0","0",53
"2008","EE",2011,123.100758853288,"3",1947,"2","1","1","1","11","5","NA","NA","NA","NA","NA","16",201,60,"0","99","0","0",60
"2008","EE",2141,123.100758853288,"2",1977,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",214,30,"0","0.7","0","0",30
"2008","EE",2301,123.100758853288,"4",1930,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",230,77,"2","1","0","0",78
"2008","EE",2381,123.100758853288,"1",1955,"2","1","1","1","11","2","40","NA","NA","NA","NA","NA",238,52,"0","0","0","0",53
"2008","EE",2591,123.100758853288,"2",1961,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",259,46,"2","0.9285714286","0","0",47
"2008","EE",2631,123.100758853288,"4",1930,"2","1","4","1","11","2","NA","NA","0","NA","NA","NA",263,77,"2","1","0","0",77
"2008","EE",2991,123.100758853288,"1",1933,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",299,74,"0","1","0","0",75
"2008","EE",3361,123.100758853288,"2",1938,"2","1","4","4","11","2","NA","NA","NA","NA","NA","NA",336,69,"0","1","0","0",69
"2008","EE",3381,123.100758853288,"4",1943,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",338,64,"2","99","0","0",64
"2008","EE",4001,123.100758853288,"1",1982,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",400,25,"0","0.5","0","0",25
"2008","EE",4071,123.100758853288,"1",1940,"2","1","3","1","11","2","NA","NA","NA","0","NA","NA",407,67,"2","0.7328136835","0","0",67
"2008","EE",4541,123.100758853288,"1",1927,"2","1","2","1","11","2","NA","NA","NA","NA","NA","0",454,80,"2","1","0","100",80
"2008","EE",4611,123.100758853288,"1",1963,"1","1","4","4","11","2","NA","NA","NA","NA","NA","NA",461,44,"0","1","1","0",44
"2008","EE",4671,123.100758853288,"3",1985,"2","1","4","1","NA","2","NA","NA","NA","NA","NA","NA",467,22,"2","1","0","110",22
"2008","EE",4731,123.100758853288,"1",1985,"2","1","4","1","11","2","NA","NA","NA","0","NA","NA",473,22,"2","1","0","0",22
"2008","EE",4751,123.100758853288,"2",1950,"2","1","1","1","NA","5","45","NA","NA","NA","NA","NA",475,57,"0","99","0","0",57
"2008","EE",4891,123.100758853288,"2",1930,"2","1","4","1","11","5","NA","28","NA","NA","NA","NA",489,77,"0","0.6875","0","0",77
"2008","EE",5041,123.100758853288,"2",1966,"1","1","4","1","11","2","NA","NA","0","NA","NA","NA",504,41,"2","1","0","10",41
"2008","EE",5181,123.100758853288,"4",1941,"1","1","4","1","11","NA","NA","NA","NA","0","NA","NA",518,66,"2","1","1","10",66
"2008","EE",5321,123.100758853288,"1",1927,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",532,80,"0","1","0","0",80
"2008","EE",5401,123.100758853288,"3",1947,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",540,60,"2","1","0","0",60
"2008","EE",5711,123.100758853288,"1",1932,"2","1","2","1","11","2","NA","NA","NA","NA","NA","NA",571,75,"0","1","0","0",75
"2008","EE",5981,123.100758853288,"2",1969,"1","1","1","1","11","2","NA","NA","0","NA","NA","0",598,38,"0","1","0","0",38
"2008","EE",6231,123.100758853288,"1",1939,"2","1","1","1","11","2","NA","NA","NA","NA","0","NA",623,68,"0","0.6381513529","0","110",69
"2008","EE",6631,123.100758853288,"3",1933,"1","1","3","4","11","2","NA","NA","NA","NA","0","NA",663,74,"2","1","0","0",74
"2008","EE",6701,123.100758853288,"1",1984,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",670,23,"0","99","0","0",23
"2008","EE",6761,123.100758853288,"2",1954,"2","1","1","1","11","2","NA","NA","0","NA","NA","NA",676,53,"0","1","0","0",53
"2008","EE",7031,123.100758853288,"3",1962,"1","1","1","1","11","2","40","NA","NA","NA","NA","NA",703,45,"0","1","0","0",45
"2008","EE",7071,123.100758853288,"4",1956,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",707,51,"0","1","0","0",52
"2008","EE",7091,123.100758853288,"2",1982,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",709,25,"0","0.8571428571","0","0",25
"2008","EE",7111,123.100758853288,"3",1935,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",711,72,"2","0","0","0",72
"2008","EE",7151,123.100758853288,"1",1927,"2","1","3","4","NA","2","NA","NA","0","0","NA","NA",715,80,"2","99","0","0",80
"2008","EE",7231,123.100758853288,"4",1948,"1","1","3","1","11","2","NA","22","0","NA","NA","NA",723,59,"0","0.5","0","0",60
"2008","EE",7271,123.100758853288,"3",1931,"1","1","4","1","11","5","NA","NA","0","0","NA","NA",727,76,"2","1","0","0",76
"2008","EE",7371,123.100758853288,"3",1932,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",737,75,"0","1","0","0",76
