"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX050","RX040","RX060","RX070","RX010"
"2009","EE",71,117.726082578046,"2",1968,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",7,40,"0","0.5951791385","0","0",41
"2009","EE",491,117.726082578046,"2",1966,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","0",49,42,"2","99","0","0",42
"2009","EE",781,117.726082578046,"3",1932,"2","1","1","4","11","2","NA","NA","NA","0","NA","NA",78,76,"0","0.7083333333","0","100",76
"2009","EE",931,117.726082578046,"3",1967,"1","1","3","4","11","2","NA","NA","NA","NA","0","0",93,41,"0","1","1","0",42
"2009","EE",1041,117.726082578046,"3",1943,"2","1","3","1","11","2","40","NA","NA","NA","NA","NA",104,65,"0","0.5833333333","0","0",65
"2009","EE",1731,117.726082578046,"4",1974,"1","1","1","1","11","5","NA","NA","NA","NA","NA","NA",173,34,"0","99","0","0",34
"2009","EE",2011,117.726082578046,"2",1943,"2","1","4","1","11","2","NA","NA","1","NA","NA","NA",201,65,"0","0.5","0","100",65
"2009","EE",2141,117.726082578046,"1",1939,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","0",214,69,"0","1","0","0",70
"2009","EE",2301,117.726082578046,"4",1928,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",230,80,"2","0.8333333333","0","0",80
"2009","EE",2381,117.726082578046,"2",1971,"2","1","4","1","11","NA","NA","NA","NA","0","NA","NA",238,37,"0","1","0","0",37
"2009","EE",2601,117.726082578046,"2",1939,"2","1","1","1","11","5","NA","NA","NA","NA","0","NA",260,69,"0","99","0","0",69
"2009","EE",2641,117.726082578046,"2",1954,"1","2","1","1","NA","2","40","NA","NA","NA","NA","NA",264,54,"0","1","0","0",55
"2009","EE",2681,117.726082578046,"1",1935,"2","1","1","1","11","2","NA","NA","0","NA","NA","NA",268,73,"1","0.5833333333","0","0",73
"2009","EE",3001,117.726082578046,"3",1959,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",300,49,"0","0.7158420552","0","0",49
"2009","EE",3361,117.726082578046,"4",1964,"2","1","2","1","11","2","NA","NA","NA","NA","NA","NA",336,44,"2","99","0","0",44
"2009","EE",3381,117.726082578046,"4",1984,"1","1","1","1","11","2","NA","NA","NA","NA","0","0",338,24,"0","1","0","0",25
"2009","EE",4011,117.726082578046,"3",1936,"2","1","4","4","11","2","NA","NA","NA","NA","0","NA",401,72,"0","99","0","0",73
"2009","EE",4071,117.726082578046,"4",1968,"1","1","1","1","11","2","NA","NA","NA","NA","0","NA",407,40,"1","0.8367692054","0","0",40
"2009","EE",4551,117.726082578046,"3",1930,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",455,78,"0","1","0","0",78
"2009","EE",4611,117.726082578046,"1",1972,"1","1","4","1","11","5","NA","30","NA","NA","NA","NA",461,36,"0","0.5555555556","0","0",36
"2009","EE",4671,117.726082578046,"1",1974,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",467,34,"0","1","0","110",35
"2009","EE",4731,117.726082578046,"1",1939,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",473,69,"0","0.5","0","0",70
"2009","EE",4761,117.726082578046,"1",1936,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",476,72,"0","1","0","110",73
"2009","EE",4901,117.726082578046,"2",1945,"1","1","4","1","NA","5","NA","NA","NA","NA","NA","NA",490,63,"2","1","0","0",63
"2009","EE",5051,117.726082578046,"3",1945,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",505,63,"0","0.75","0","100",63
"2009","EE",5191,117.726082578046,"2",1928,"2","1","1","4","11","2","NA","NA","NA","NA","NA","16",519,80,"2","0.5416666667","0","0",80
"2009","EE",5321,117.726082578046,"3",1967,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",532,41,"0","99","0","100",42
"2009","EE",5411,117.726082578046,"3",1942,"1","1","1","4","11","2","NA","NA","NA","NA","0","NA",541,66,"1","1","0","0",66
"2009","EE",5711,117.726082578046,"3",1982,"1","1","1","1","11","2","NA","25","NA","NA","0","NA",571,26,"0","0.4583333333","0","0",26
"2009","EE",5991,117.726082578046,"3",1932,"2","1","3","1","NA","5","NA","30","NA","NA","NA","NA",599,76,"0","1","0","0",77
"2009","EE",6231,117.726082578046,"2",1936,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",623,72,"0","99","0","100",72
