"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2012","EE",71,109.903368304804,"4",1934,"2","1","1","1","11","NA","NA","NA","NA","0","0","NA",77,77,7,"0.6666666667","0","0","0"
"2012","EE",501,109.903368304804,"1",1952,"2","1","4","1","11","5","NA","NA","NA","NA","NA","NA",59,59,50,"1","0","0","0"
"2012","EE",531,109.903368304804,"2",1944,"1","1","1","1","11","5","NA","NA","NA","NA","NA","NA",68,67,53,"0.4863526727","0","0","0"
"2012","EE",801,109.903368304804,"4",1987,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",25,24,80,"0","0","0","0"
"2012","EE",951,109.903368304804,"2",1931,"2","1","4","1","11","2","NA","NA","NA","NA","15","NA",80,80,95,"99","0","0","0"
"2012","EE",1071,109.903368304804,"3",1983,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",28,28,107,"99","0","0","0"
"2012","EE",1761,109.903368304804,"3",1950,"1","1","4","1","14","2","0","NA","NA","0","NA","NA",61,61,176,"0.5","0","0","1"
"2012","EE",2061,109.903368304804,"2",1932,"2","1","4","4","11","2","NA","NA","NA","NA","NA","0",80,79,206,"0.5","0","0","0"
"2012","EE",2181,109.903368304804,"3",1951,"2","1","2","4","11","5","NA","NA","NA","NA","NA","0",60,60,218,"99","0","0","0"
"2012","EE",2351,109.903368304804,"2",1975,"1","1","4","1","11","2","NA","NA","5","0","NA","NA",36,36,235,"0.9285714286","0","0","0"
"2012","EE",2431,109.903368304804,"1",1984,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",27,27,243,"0.9761904762","0","1","0"
"2012","EE",2651,109.903368304804,"3",1943,"1","1","3","4","11","2","NA","25","NA","NA","NA","NA",68,68,265,"0.5321428571","0","0","0"
"2012","EE",2691,109.903368304804,"1",1953,"1","1","3","1","NA","2","NA","NA","NA","NA","NA","NA",58,58,269,"0.75","0","0","0"
"2012","EE",2741,109.903368304804,"1",1938,"1","1","1","1","NA","5","NA","NA","NA","NA","0","NA",74,73,274,"1","0","0","0"
"2012","EE",3061,109.903368304804,"2",1955,"2","1","1","1","11","5","NA","NA","NA","NA","0","6",56,56,306,"0.9285714286","0","0","110"
"2012","EE",3321,109.903368304804,"2",1934,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",77,77,332,"0.5","2","0","0"
"2012","EE",3441,109.903368304804,"4",1982,"1","1","4","1","11","2","NA","0","NA","NA","0","0",30,29,344,"1","0","0","0"
"2012","EE",3461,109.903368304804,"2",1987,"1","1","4","4","11","2","NA","NA","NA","NA","NA","NA",25,24,346,"0.5833333333","0","0","0"
"2012","EE",3681,109.903368304804,"3",1968,"2","1","3","1","11","5","NA","NA","NA","NA","NA","NA",44,43,368,"1","0","0","0"
"2012","EE",4091,109.903368304804,"4",1980,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","1",31,31,409,"0.9523809524","0","0","0"
"2012","EE",4161,109.903368304804,"2",1931,"2","1","4","1","14","5","NA","NA","NA","NA","NA","NA",80,80,416,"1","0","0","0"
"2012","EE",4651,109.903368304804,"1",1972,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",40,39,465,"1","0","0","0"
