"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY100N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY090G","HY100G","HY110G","HY120G","HY130G","HY140G","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH090","HX040","HX050","HX090","HX080","HX060","HX070","HX020","HX010"
"2006","EE",6,"2","2006","19",10371,13091,0,0,,,,,,0,0,0,0,0,2,,0,204,0,-2924,"2","2","2","1","1","1","1","1","3","1","1","2","639.12","2","3","2","1","2","2","1","4","6","2","1","NA","NA","178.95","1","1","1",1,,,,,,
"2006","EE",23,"2","2006","23",3075,3071,0,0,,,,,,0,0,0,0,0,0,,0,0,0,4,"NA","2","NA","2","1","1","1","1","1","1","2","4","319.56","3","NA","2","2","2","1","4","1","1","2","1","NA","NA","31.96","1","1","1",1,,,,,,
"2006","EE",47,"2","2006","21",2086,2065,0,0,,,,,,0,0,0,0,0,0,,0,0,0,21,"NA","2","NA","1","1","1","1","1","1","1","1","4","1278.23","3","2","2","2","2","2","4","1","2","2","1","NA","NA","51.13","2","2","1",1,,,,,,
"2006","EE",50,"2","2006","11",17107,14842,0,0,,,,,,0,0,0,0,0,0,,0,101,0,2163,"NA","2","2","2","1","1","1","1","3","1","2","3","1278.23","2","NA","1","2","2","1","4","1","4","1","1","NA","NA","63.91","1","2","1",1,,,,,,
"2006","EE",76,"3","2006","18",6977,5537,0,0,,,,,,0,0,0,0,0,0,,0,1440,0,0,"NA","2","NA","1","1","1","1","1","1","1","1","5","766.94","3","NA","2","2","1","1","1","1","6","2","1","NA","NA","287.6","1","1","1",1,,,,,,
"2006","EE",90,"2","2006","14",4741,2450,0,0,,,,,,0,0,0,0,0,0,,0,2291,0,0,"NA","2","2","1","1","1","1","1","1","1","1","4","1150.41","1","2","2","2","2","1","4","1","3","2","1","NA","NA","95.87","1","1","1",1,,,,,,
"2006","EE",101,"2","2006","14",3099,1807,0,0,,,,,,0,0,0,0,0,0,,0,1292,0,0,"NA","2","NA","1","1","1","1","1","1","1","1","4","958.67","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","140.61","1","1","1",1,,,,,,
"2006","EE",167,"1","2006","17",4413,3159,0,0,,,,,,0,0,0,0,0,0,,0,0,0,1254,"2","2","2","1","1","1","1","1","2","1","1","1","958.67","1","2","1","2","2","1","4","1","3","2","1","NA","NA","83.09","1","1","1",1,,,,,,
"2006","EE",194,"2","2006","15",3451,3450,0,0,,,,,,0,0,0,0,0,0,,0,0,1,0,"NA","2","NA","2","1","1","1","1","1","1","1","5","1086.5","2","3","1","2","2","2","1","2","3","2","1","NA","NA","83.09","1","1","1",1,,,,,,
"2006","EE",206,"2","2006","19",2295,2283,0,0,,,,,,0,0,0,0,0,0,,0,12,0,0,"NA","2","NA","2","1","1","1","1","1","1","1","2","958.67","3","2","2","2","2","2","4","1","5","2","1","NA","NA","9.59","1","1","1",1,,,,,,
"2006","EE",223,"1","2006","7",3563,3560,0,0,,,,,,0,0,0,0,0,0,,0,3,0,0,"NA","2","2","2","1","1","1","1","2","1","1","4","639.12","2","2","2","2","1","2","4","4","3","1","1","NA","NA","127.82","2","1","1",1,,,,,,
"2006","EE",230,"2","2006","8",1787,1071,0,0,,,,,,0,0,0,0,0,0,,0,2,0,714,"2","2","NA","2","1","1","1","1","1","1","1","3","1278.23","2","NA","2","2","1","2","1","1","2","2","1","NA","NA","51.13","1","1","1",1,,,,,,
"2006","EE",251,"2","2006","11",948,83,0,0,,,,,,0,0,0,0,0,0,,0,865,0,0,"2","2","NA","1","1","2","1","1","2","1","1","1","1597.79","2","NA","2","2","2","2","4","1","2","2","1","NA","NA","76.69","1","1","1",1,,,,,,
